,DC,EC
0,Abtreibung,ernstes Gesundheitsproblem
1,Religion,Anwendung des Konzepts
2,Impfung,Impfungsstrategie
3,Technologie,Arten
4,Globalisierung,politische soziale und wirtschaftliche Veränderungen
5,Internet,Technologie
6,Prostitution,Verwaltungsvergehen
7,Abtreibung,kontroverses Thema
8,Internet,Ort
9,Internet,Kanäle
10,Religion,wichtiger Bestandteil der Identität
11,Todesstrafe,sehr heikles Thema
12,Kapitalismus,konzeptionelle Form des Kapitalismus
13,Internet,mächtiger Kanal
14,Kunst,Themen
15,Steuer,Art
16,Prostitution,administrative Straftat
17,Religion,ungeteilte und nicht zu trennende Religion
18,Impfstoff,von Sanaria entwickelter Kandidat
19,Monopol,Marktstruktur
20,Gesundheitswesen,wichtiges Thema
21,Religion,Wissensfelder
22,Impfung,öffentliches Gut
23,Kapitalismus,umfassendere Form dieser Marktwirtschaft
24,Impfung,aktive Form der Immunisierung
25,Kunst,variabler Begriff
26,Kunst,wichtiger Bestandteil des menschlichen Lebens
27,DNA,Methode der nichtinvasiven Vornataldiagnose
28,Gesundheitsversorgung,spezielle Pflegepraxis
29,Technologie,zuverlässige und kostengünstige Technik
30,Globalisierung,geschlechtsspezifischer Prozess
31,Demokratie,Form der sozialen Organisation
32,Steuer,finanzielle Abgabe
33,Impfstoff,Person
34,Gesundheitsversorgung,breit angelegtes Konzept
35,Demokratie,Begriff der direkten Demokratie
36,DNA,wesentliche Strukturkomponente vieler verschiedener mikrobieller Biofilme
37,Steuer,aggressive Steuer
38,Todesstrafe,hartes Menschenrechtsprinzip
39,künstliche Intelligenz,moderne digitale Werkzeuge
40,Sport,Trainer
41,Impfstoff,Kombinations Impfstoff
42,Kapitalismus,begehrter Bereich
43,DNA,Informationsspeicher Makromolekül
44,Monopol,Art
45,Religion,starker Einfluss
46,Waffenkontrolle,Begriff
47,Technologie,Arbeitsplatzfragen
48,Religion,Zwecke
49,Demokratie,Form der delegativen Demokratie
50,Impfstoff,Klasse
51,Prostitution,Sexarbeit
52,Fettleibigkeit,medizinischer Zustand
53,Kapitalismus,Kapitalmarkt
54,Steuer,Strafsteuer
55,Religion,Kraft
56,Religion,kontroverses und kompliziertes Subjekt
57,Rauchen,führende Todesursache
58,Waffenkontrolle,weitaus größeres Problem
59,Gesundheitsversorgung,heterogene Institution
60,Technologie,Tanzmusikstile
61,Technologie,großes Problem
62,Sport,Nischen
63,Internet,regionale
64,Religion,direktes Ergebnis des Versuches
65,Rauchen,rauchlose Methoden
66,Sport,organisierte oder unorganisierte Erholung
67,Kunst,künstlerische Arbeit
68,Steuer,Schätzung des gesamten steuerpflichtigen Einkommens
69,Kapitalismus,starke Rolle
70,Abtreibung,Themen
71,Globalisierung,Bewegung
72,Monopol,Organisation
73,Medikament,synthetisches Prostaglandin
74,Sport,Spiel der Fähigkeit
75,Prostitution,illegale Geschäfte
76,Steuer,spezielle Steuerart
77,Drogen,Versorgungen
78,Fettleibigkeit,dietbedingte Krankheiten
79,Gesundheitsversorgung,abgeleitete Nachfrage
80,Abtreibung,medizinische Abtreibung
81,Internet,Netzwerk
82,Atombombe,zeitgenössisches Geschichtsbuch des amerikanischen Journalisten
83,Kunst,besonders gutes Beispiel
84,Religion,breite Palette
85,Rauchen,sozialer Standard
86,Gesundheitsversorgung,soziale Dienstleistungen
87,Impfstoff,COVID19 Impfstoff
88,Internet,potenzieller Angriffsvektor
89,Technologie,Standard
90,Prostitution,Tätigkeiten
91,Monopol,Struktur
92,Impfstoff,Art
93,Demokratie,Art Demokratie
94,Demokratie,Verfahrensdemokratie
95,Religion,einheitliches Glaubens
96,Rauchen,Drogenkonsum
97,Sport,Verwendungen
98,Kryptowährung,Knoten
99,Rauchen,weiterer Faktor
100,Prostitution,Problem
101,Todesstrafe,gesetzliche Sanktion
102,Technologie,Einfluss
103,Sport,Veranstaltungen
104,Prostitution,ausbeuterische Praxis
105,DNA,Polynukleotide
106,Demokratie,System
107,Monopol,isolierte magnetische Ladung
108,Demokratie,alte griechische Stadtstaaten
109,soziale Medien,Möglichkeiten
110,Demokratie,Phase der Demokratie
111,Religion,modernes westliches Konzept
112,Sport,wichtiger Teil der isländischen Kultur
113,Sport,wichtiger Teil der pakistanischen Kultur
114,Steuer,Arbeitsbelange
115,Internet,Kommunikationsmethoden
116,Kapitalismus,Wirkung der Regierung
117,Internet,Pakete
118,Atombombe,Essays
119,DNA,relativ seltene linke Doppelhelix
120,Gesundheitsversorgung,typische Methode
121,Todesstrafe,rechtliche Sanktion
122,Religion,Synretismus der indigenen und katholischen Überzeugungen
123,Kunst,allgemeine Begriffsbestimmung
124,Religion,System
125,Mindestlohn,fortschrittliche Ideen
126,Steuer,Vorteile
127,Gesundheitsversorgung,wichtiger Indikator
128,Klimawandel,existentielles Risiko
129,Internet,weitere Kritikquelle des Talmud
130,Steuer,regressive Steuer
131,Technologie,homogene Belegschaft
132,Gesundheitsversorgung,ernstes Problem
133,Technologie,kreativer Prozess
134,Kryptowährung,digitale Währung
135,Impfstoff,Mischung lebender geschwächter Viren
136,Monopol,Unternehmen
137,Internet,Kommunikationstechnologien
138,DNA,wichtiges Ziel der zeitgenössischen Genomforschung
139,Kunst,Reihe
140,Technologie,Prozess dieser Arbeit
141,Technologie,immer wachsende und fortschrittliche Industrie
142,Internet,Gästebuch
143,Steuer,Währungstransaktionssteuer
144,Internet,Mittel
145,Internet,Telekommunikationsdienste
146,Rauchen,Prozesse
147,Technologie,dynamische Einheit
148,Technologie,Technologie
149,Gesundheitsversorgung,entscheidender Teil des Übergangs
150,Gesundheitswesen,wichtiger Bestandteil der Gesundheitssysteme
151,Klimawandel,positive Rückkopplungsschleife
152,Religion,gemeinschaftliche keine individuelle Wahl
153,Gesundheitsversorgung,technische Herausforderung
154,Sport,neuseeländischer Sport Streaming Service
155,Klimawandel,Formen der Umweltzerstörung
156,Kunst,Körper
157,Flüchtlinge,Einwanderer
158,Technologie,sehr einfache Form der frei Raumoptischen Kommunikation
159,Demokratie,Vereinbarung
160,Rauchen,großer Teil
161,Patriotismus,Form des Patriotismus
162,Sport,gefährliche
163,Kapitalismus,inhaltlicher Bereich
164,Sport,Bus
165,Prostitution,Karriereoption
166,Drogen,Mittel
167,Abtreibung,weitere wichtige Ursache
168,Rauchen,Hauptursache
169,Smartphone,Smartphone
170,Sport,Echtzeit Informationen
171,Steuer,Instrument
172,Religion,schlechter moralischer Führer
173,Todesstrafe,Voraussetzung
174,Internet,unvergleichliche Erfolgsgeschichte
175,Technologie,Analyse der negativen Auswirkungen
176,Atomwaffen,Massenvernichtungswaffen
177,Internet,Informations
178,Technologie,System
179,Prostitution,harte Notwendigkeit
180,Abtreibung,großes Phänomen
181,Sport,Vergnügungen
182,Klimawandel,natürliches Ereignis
183,Demokratie,interdisziplinärer Zweig der öffentlichen Wahl
184,Kunst,Einrichtung
185,Monopol,System
186,DNA,Funktionen
187,Demokratie,Art
188,Technologie,Tiefschneidwerkzeug
