,DC,EC,good expansion
0,Abtreibung,ernstes Gesundheitsproblem,0
1,Religion,Anwendung des Konzepts,0
2,Impfung,Impfungsstrategie,1
3,Technologie,Arten,0
4,Globalisierung,politische soziale und wirtschaftliche Veränderungen,1
5,Internet,Technologie,1
6,Prostitution,Verwaltungsvergehen,0
7,Abtreibung,kontroverses Thema,0
8,Internet,Ort,0
9,Internet,Kanäle,0
10,Religion,wichtiger Bestandteil der Identität,0
11,Todesstrafe,sehr heikles Thema,0
12,Kapitalismus,konzeptionelle Form des Kapitalismus,1
13,Internet,mächtiger Kanal,0
14,Kunst,Themen,0
15,Steuer,Art,0
16,Prostitution,administrative Straftat,0
17,Religion,ungeteilte und nicht zu trennende Religion,0
18,Impfstoff,von Sanaria entwickelter Kandidat,0
19,Monopol,Marktstruktur,0
20,Gesundheitswesen,wichtiges Thema,0
21,Religion,Wissensfelder,0
22,Impfung,öffentliches Gut,0
23,Kapitalismus,umfassendere Form dieser Marktwirtschaft,0
24,Impfung,aktive Form der Immunisierung,0
25,Kunst,variabler Begriff,0
26,Kunst,wichtiger Bestandteil des menschlichen Lebens,0
27,DNA,Methode der nichtinvasiven Vornataldiagnose,0
28,Gesundheitsversorgung,spezielle Pflegepraxis,0
29,Technologie,zuverlässige und kostengünstige Technik,0
30,Globalisierung,geschlechtsspezifischer Prozess,0
31,Demokratie,Form der sozialen Organisation,0
32,Steuer,finanzielle Abgabe,0
33,Impfstoff,Person,0
34,Gesundheitsversorgung,breit angelegtes Konzept,0
35,Demokratie,Begriff der direkten Demokratie,0
36,DNA,wesentliche Strukturkomponente vieler verschiedener mikrobieller Biofilme,0
37,Steuer,aggressive Steuer,0
38,Todesstrafe,hartes Menschenrechtsprinzip,0
39,künstliche Intelligenz,moderne digitale Werkzeuge,0
40,Sport,Trainer,0
41,Impfstoff,Kombinations Impfstoff,0
42,Kapitalismus,begehrter Bereich,0
43,DNA,Informationsspeicher Makromolekül,0
44,Monopol,Art,0
45,Religion,starker Einfluss,0
46,Waffenkontrolle,Begriff,0
47,Technologie,Arbeitsplatzfragen,0
48,Religion,Zwecke,0
49,Demokratie,Form der delegativen Demokratie,0
50,Impfstoff,Klasse,0
51,Prostitution,Sexarbeit,1
52,Fettleibigkeit,medizinischer Zustand,0
53,Kapitalismus,Kapitalmarkt,1
54,Steuer,Strafsteuer,0
55,Religion,Kraft,0
56,Religion,kontroverses und kompliziertes Subjekt,0
57,Rauchen,führende Todesursache,0
58,Waffenkontrolle,weitaus größeres Problem,0
59,Gesundheitsversorgung,heterogene Institution,0
60,Technologie,Tanzmusikstile,0
61,Technologie,großes Problem,0
62,Sport,Nischen,0
63,Internet,regionale,0
64,Religion,direktes Ergebnis des Versuches,0
65,Rauchen,rauchlose Methoden,0
66,Sport,organisierte oder unorganisierte Erholung,0
67,Kunst,künstlerische Arbeit,0
68,Steuer,Schätzung des gesamten steuerpflichtigen Einkommens,0
69,Kapitalismus,starke Rolle,0
70,Abtreibung,Themen,0
71,Globalisierung,Bewegung,0
72,Monopol,Organisation,0
73,Medikament,synthetisches Prostaglandin,0
74,Sport,Spiel der Fähigkeit,0
75,Prostitution,illegale Geschäfte,0
76,Steuer,spezielle Steuerart,0
77,Drogen,Versorgungen,0
78,Fettleibigkeit,dietbedingte Krankheiten,1
79,Gesundheitsversorgung,abgeleitete Nachfrage,0
80,Abtreibung,medizinische Abtreibung,0
81,Internet,Netzwerk,1
82,Atombombe,zeitgenössisches Geschichtsbuch des amerikanischen Journalisten,0
83,Kunst,besonders gutes Beispiel,0
84,Religion,breite Palette,0
85,Rauchen,sozialer Standard,0
86,Gesundheitsversorgung,soziale Dienstleistungen,0
87,Impfstoff,COVID19 Impfstoff,1
88,Internet,potenzieller Angriffsvektor,0
89,Technologie,Standard,0
90,Prostitution,Tätigkeiten,0
91,Monopol,Struktur,0
92,Impfstoff,Art,0
93,Demokratie,Art Demokratie,0
94,Demokratie,Verfahrensdemokratie,0
95,Religion,einheitliches Glaubens,0
96,Rauchen,Drogenkonsum,0
97,Sport,Verwendungen,0
98,Kryptowährung,Knoten,0
99,Rauchen,weiterer Faktor,0
100,Prostitution,Problem,0
101,Todesstrafe,gesetzliche Sanktion,0
102,Technologie,Einfluss,0
103,Sport,Veranstaltungen,0
104,Prostitution,ausbeuterische Praxis,0
105,DNA,Polynukleotide,1
106,Demokratie,System,0
107,Monopol,isolierte magnetische Ladung,0
108,Demokratie,alte griechische Stadtstaaten,1
109,soziale Medien,Möglichkeiten,0
110,Demokratie,Phase der Demokratie,0
111,Religion,modernes westliches Konzept,0
112,Sport,wichtiger Teil der isländischen Kultur,0
113,Sport,wichtiger Teil der pakistanischen Kultur,0
114,Steuer,Arbeitsbelange,0
115,Internet,Kommunikationsmethoden,1
116,Kapitalismus,Wirkung der Regierung,0
117,Internet,Pakete,0
118,Atombombe,Essays,0
119,DNA,relativ seltene linke Doppelhelix,0
120,Gesundheitsversorgung,typische Methode,0
121,Todesstrafe,rechtliche Sanktion,0
122,Religion,Synretismus der indigenen und katholischen Überzeugungen,0
123,Kunst,allgemeine Begriffsbestimmung,0
124,Religion,System,0
125,Mindestlohn,fortschrittliche Ideen,0
126,Steuer,Vorteile,0
127,Gesundheitsversorgung,wichtiger Indikator,0
128,Klimawandel,existentielles Risiko,0
129,Internet,weitere Kritikquelle des Talmud,0
130,Steuer,regressive Steuer,0
131,Technologie,homogene Belegschaft,0
132,Gesundheitsversorgung,ernstes Problem,0
133,Technologie,kreativer Prozess,0
134,Kryptowährung,digitale Währung,1
135,Impfstoff,Mischung lebender geschwächter Viren,0
136,Monopol,Unternehmen,0
137,Internet,Kommunikationstechnologien,1
138,DNA,wichtiges Ziel der zeitgenössischen Genomforschung,0
139,Kunst,Reihe,0
140,Technologie,Prozess dieser Arbeit,0
141,Technologie,immer wachsende und fortschrittliche Industrie,0
142,Internet,Gästebuch,0
143,Steuer,Währungstransaktionssteuer,0
144,Internet,Mittel,0
145,Internet,Telekommunikationsdienste,0
146,Rauchen,Prozesse,0
147,Technologie,dynamische Einheit,0
148,Technologie,Technologie,1
149,Gesundheitsversorgung,entscheidender Teil des Übergangs,0
150,Gesundheitswesen,wichtiger Bestandteil der Gesundheitssysteme,0
151,Klimawandel,positive Rückkopplungsschleife,0
152,Religion,gemeinschaftliche keine individuelle Wahl,0
153,Gesundheitsversorgung,technische Herausforderung,0
154,Sport,neuseeländischer Sport Streaming Service,0
155,Klimawandel,Formen der Umweltzerstörung,1
156,Kunst,Körper,0
157,Flüchtlinge,Einwanderer,1
158,Technologie,sehr einfache Form der frei Raumoptischen Kommunikation,0
159,Demokratie,Vereinbarung,0
160,Rauchen,großer Teil,0
161,Patriotismus,Form des Patriotismus,0
162,Sport,gefährliche,0
163,Kapitalismus,inhaltlicher Bereich,0
164,Sport,Bus,0
165,Prostitution,Karriereoption,0
166,Drogen,Mittel,0
167,Abtreibung,weitere wichtige Ursache,0
168,Rauchen,Hauptursache,0
169,Smartphone,Smartphone,1
170,Sport,Echtzeit Informationen,0
171,Steuer,Instrument,0
172,Religion,schlechter moralischer Führer,0
173,Todesstrafe,Voraussetzung,0
174,Internet,unvergleichliche Erfolgsgeschichte,0
175,Technologie,Analyse der negativen Auswirkungen,0
176,Atomwaffen,Massenvernichtungswaffen,1
177,Internet,Informations,0
178,Technologie,System,0
179,Prostitution,harte Notwendigkeit,0
180,Abtreibung,großes Phänomen,0
181,Sport,Vergnügungen,0
182,Klimawandel,natürliches Ereignis,0
183,Demokratie,interdisziplinärer Zweig der öffentlichen Wahl,0
184,Kunst,Einrichtung,0
185,Monopol,System,0
186,DNA,Funktionen,0
187,Demokratie,Art,0
188,Technologie,Tiefschneidwerkzeug,0
189,Rauchen,primäres Ziel,0
190,Internet,Schlüsselressource,0
191,Abtreibung,unvollständige Abtreibung,0
192,Euthanasie,vernünftige Wahl,0
193,Steuer,Form der Verschmutzungssteuer,0
194,Drogen,Lieferungen,0
195,Technologie,Produkten,0
196,Patriotismus,Mangel,0
197,Kunst,physikalisches zwei oder dreidimensionales Objekt,0
198,Impfstoff,diese Art,0
199,Religion,langer Versuch,0
200,Gesundheitsversorgung,politische Initiativen,0
201,Kunst,unterschätzter Beitrag,0
202,Demokratie,von dem israelischen Historiker Jacob Leib Talmon populärer Begriff,0
203,Technologie,Periode stabiler und vergüteter Einkünfte,0
204,Kunst,Polemik des Materialismus,0
205,Klimawandel,globale Herausforderung,0
206,Technologie,integraler Bestandteil mehrerer Pläne,0
207,Flüchtlinge,Migranten,1
208,Klimawandel,internationales Umweltabkommen,0
209,DNA,Impfstoffe,0
210,Monopol,Preisträger,0
211,Kapitalismus,Begriff,0
212,Abtreibung,Hauptursache,0
213,Todesstrafe,rechtliche Form der Strafe,0
214,Steuer,wesentlicher Bestandteil der makroökonomischen Politik,0
215,Kunst,sehr subtile manchmal auch symbolische Ausdrucksform,0
216,Abtreibung,selten angewandte Methode,0
217,Kunst,wichtiger Bestandteil,0
218,Kunst,Aktivitäten,0
219,Prostitution,Unternehmen,0
220,Abtreibung,führende Ursache,0
221,Steuer,Steuersystem,0
222,soziale Medien,Anwendungen,0
223,Klimawandel,Umweltprobleme,1
224,Religion,Demografie,0
225,Todesstrafe,Methode,0
226,Prostitution,sexuelle Missbrauch,1
227,Religion,Mittel,0
228,Technologie,Gründe,0
229,Steuer,Regierungsabgabe,0
230,Steuer,obligatorische Finanzgebühr,0
231,DNA,Molekül,1
232,Abtreibung,Thema der Kontroversen,0
233,Demokratie,Theorie der Bürgerinnen,0
234,Smartphone,bestimmte Art,0
235,Technologie,Medien,0
236,Klimawandel,Herausforderung,0
237,soziale Medien,neue Werbekanäle,0
238,Rauchen,etablierter Risikofaktor,0
239,Internet,Netzwerken,1
240,Religion,archaischer Ableger der indoeuropäischen Religion,0
241,DNA,Beweise,0
242,Klimawandel,komplexes globales Problem,0
243,Gesundheitsversorgung,Form der Gesundheitsfinanzierung,1
244,Sport,Gelände der streitigen Geschlechtsbeziehungen,0
245,Klimawandel,Thema,0
246,Demokratie,Mix,0
247,Gesundheitsversorgung,knappe Ressource,0
248,Demokratie,Begriff,0
249,Internet,globales Netzwerk,1
250,DNA,langes Polymer,0
251,Impfstoff,antigene Zubereitung,0
252,Elektroauto,Auto,1
253,Abtreibung,moralisches Recht,1
254,Demokratie,Selbstverteidigung,0
255,Kunst,direkte Folge der semantischen Mehrdeutigkeit,0
256,Prostitution,beliebtes Thema,0
257,Religion,Ausdruck unseres kollektiven Bewusstseins,0
258,Impfstoff,replikationsdefizitärer Simian Adenovirus Vektor,0
259,Abtreibung,weitere Hauptursache,0
260,Technologie,neuer Wandel,0
261,Klimawandel,tribale Religion,0
262,DNA,zentraler Teil der Molekularbiologie,0
263,Abtreibung,ernste Angelegenheit,0
264,Prostitution,wichtiges Thema,0
265,Religion,Variante der chinesischen Volksreligation,1
266,Technologie,sehr schonender Prozess,0
267,Sport,Freizeitaktivitäten,1
268,Technologie,Art,0
269,Klimawandel,Bedrohungen,0
270,DNA,Kette,0
271,Kunst,grundlegende künstlerische Haltung,0
272,Globalisierung,soziale Bewegung,0
273,Internet,wachsende moderne Form der Terrorismusfinanzierung,0
274,Medikament,andere chemische Substanz,0
275,Technologie,wichtige Quelle des sozialen Wandels,0
276,Rauchen,Tabakkonsum,1
277,Internet,Formen der Zensur,0
278,Globalisierung,vielfältiges Phänomen,0
279,Flüchtlinge,Betroffene,0
280,Technologie,direkter Faktor,0
281,DNA,langes Biopolymer,0
