,DC,EC,good expansion
0,Social media,book,0
1,Capital punishment,unsuitable national security laws,0
2,Abortion,cause,0
3,Art,descriptive of art projects,0
4,Smoking,smokeless methods,0
5,Prostitution,administrative,0
6,DNA,manmade dna sequence,0
7,Tax,method,0
8,Money,physical tokens,0
9,Democracy,theocratic political system,0
10,Prostitution,legitimate form of work,0
11,Technology,extension of the junior course,0
12,Smoking,major sin,0
13,Climate change,global challenge,0
14,Democracy,indirect democracy,1
15,Universal basic income,subject of much interest,0
16,Space colonization,theoretical interstellar space colonization concept,0
17,Abortion,human right,1
18,Religion,animistic ethnic religion of korea,1
19,Democracy,notion of direct democracy,0
20,Money,veil,0
21,Electric car,automobile,1
22,Climate change,severe ongoing and global threat,0
23,Vegetarian,1903 publication,0
24,Tax,percentage of taxable wages,1
25,Technology,deep cutting tool,0
26,Tax,proxy,0
27,Art,general term,0
28,Homeschooling,relatively widespread form of education,0
29,Tax,voluntary tax,0
30,Internet,internet,1
31,Bottled water,good example of how capitalism can brainwash,0
32,Climate change,serious concern,0
33,Abortion,way,0
34,Religion,important part of canada s political culture,0
35,Abortion,just exercise of this right,0
36,Money,medium of exchange,0
37,Obesity,diet related diseases,1
38,Tax,type of taxation,1
39,Vaccine,miniscule 0,0
40,Capitalism,theoretical concept,0
41,Tax,good tax,0
42,Capitalism,refinement of capitalism,0
43,DNA,lefthanded helix,0
44,Social media,digital spaces,0
45,Tax,tax deductible operating cost,1
46,Technology,broad area of biology,0
47,Tax,a steering tax,0
48,Art,forms of cultural expression,0
49,Prostitution,forms of sexwork,1
50,Democracy,substantive,0
51,Capitalism,capitalist marketplace,1
52,Internet,manifestation of their depression,0
53,Obesity,major feature,0
54,Prostitution,involves,0
55,Globalization,longterm historical process of bringing,0
56,Art,method of painting,1
57,Climate change,complex global problem,0
58,Religion,ethnic religion,1
59,Sport,game of skill,0
60,Technology,specific application of nanotechnology,0
61,Tax,kind of tax,0
62,Democracy,façade,0
63,Abortion,rarely used method of late term abortion,0
64,Euthanasia,controversial issue,0
65,Patriotism,development of sternberger s earlier notion,0
66,Capitalism,capitalist economy,0
67,Artificial intelligence,incapacity,0
68,Climate change,serious threat,0
69,Tax,policy tax,1
70,Tax,fixed tax,1
71,Same-sex marriage,civil rights,1
72,Social media,public good,0
73,Euthanasia,health issue,1
74,Tax,levies,1
75,Democracy,form of social organisation,0
76,Religion,tool,0
77,Abortion,serious public health problem,0
78,Religion,archaic offshoot of indoeuropean religion,0
79,Euthanasia,2006 book,0
80,Money,assets,0
81,Obesity,major risk factor,0
82,Capital punishment,frequent practice,0
83,Social media,electronic delivery methods,0
84,Smartphone,devices,0
85,Money,currency,1
86,Art,factors,0
87,Capitalism,term,0
